Description | PathType (0 = cubTraining; 1 = straight to the pride lands; 2 = either path) | Advisor | PridePoints (lose or gain)
Desert storm sweeps through the territory|2|Zazu|-500
Fatigue from intense training with pride warriors|0|Sarabi|-200
Challenging night watch duty under pitch-black conditions|1|Nala|-400
Extra energy from bountiful season|1|none|800
Observed a rare natural phenomenon|0|none|600
You encounter a group of rhinos, who teach you about resiliance|2|none|200
A honey badger leads you to a bees nest; you enjoy some honey|2|none|300
Gained wisdom from observing the rituals of Rafiki|1|Rafiki|1000
Stampede of buffalo follows you into a ravine|2|Sarafina|-400
Pack of wise-cracking hyenas gathers around you|2|Timon|-300
Bad hunting day, only bugs to eat|2|Pumbaa|-400
